Question;Persona type (e.g., buyer persona);Source author name;Source URL;Theme
How do you prefer to communicate (e.g., by phone, email, in person)?;Buyer Persona;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Consumer Habit
Which social networks do you prefer to use (personally and professionally)?;Buyer Persona;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Consumer Habit
How do you stay current on developments in your industry?;Buyer Persona;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Consumer Habit
If you were to search for a product/service you needed, what search terms would you use?;Buyer Persona;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Consumer Habit
Think back on a recent purchase. How did you research the purchase?;Buyer Persona;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Consumer Habit
Think back on a recent purchase. How did you research the purchase? What factors were most important to you in evaluating your options? What doubts did you have? Did anyone help you make the final decision?;Buyer Persona;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Consumer Habit
What do you watch on TV?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Consumer Habit
What offline resources do you use?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Consumer Habit
What online resources do you use?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Consumer Habit
Where do you prefer to do your shopping?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Consumer Habit
How important is it to get a good deal?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Consumer Habit
What types of mobile devices do you own?;Buyer Persona;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Consumer Habit
What could make us even better? Whether it be in the buying process you went through or afterwards?;Buyer Persona;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Consumer Habit
What could we do to reach more people just like you?;Buyer Persona;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Consumer Habit
How often do you check emails on your phone, at home, at work?;Buyer Persona;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Consumer Habit
Do you use the internet to research vendors or products? If yes, how do you search for information?;Buyer Persona;Lindsay Kolowich;https://blog.hubspot.com/marketing/buyer-persona-questions;Consumer Habit
Describe a recent purchase.;Buyer Persona;Lindsay Kolowich;https://blog.hubspot.com/marketing/buyer-persona-questions;Consumer Habit
What do you like to do in your free time?;Buyer Persona;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Consumer Habit
