Question;Source author name;Source URL;Theme
How do you prefer to communicate (e.g., by phone, email, in person)?;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Consumer Habit
Which social networks do you prefer to use (personally and professionally)?;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Consumer Habit
How do you stay current on developments in your industry?;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Consumer Habit
If you were to search for a product/service you needed, what search terms would you use?;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Consumer Habit
Think back on a recent purchase. How did you research the purchase?;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Consumer Habit
Think back on a recent purchase. How did you research the purchase? What factors were most important to you in evaluating your options? What doubts did you have? Did anyone help you make the final decision?;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Consumer Habit
What do you watch on TV?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Consumer Habit
What offline resources do you use?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Consumer Habit
What online resources do you use?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Consumer Habit
Where do you prefer to do your shopping?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Consumer Habit
How do you prefer to interact with vendors?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Consumer Habit
How important is it to get a good deal?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Consumer Habit
What types of mobile devices do you own?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Consumer Habit
What could make us even better? Whether it be in the buying process you went through or afterwards?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Consumer Habit
What could we do to reach more people just like you?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Consumer Habit
How often do you check emails on your phone, at home, at work?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Consumer Habit
Do you use the internet to research vendors or products? If yes, how do you search for information?;Lindsay Kolowich;https://blog.hubspot.com/marketing/buyer-persona-questions;Consumer Habit
Describe a recent purchase.;Lindsay Kolowich;https://blog.hubspot.com/marketing/buyer-persona-questions;Consumer Habit
What do you like to do in your free time?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Consumer Habit
If yes, which ones?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
If no, why not? Are they unsure how to use them? Perhaps they don’t trust them?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
What’s their preferred method of communication? Emailing, texting, using an app (such as WhatsApp), or do they prefer to pick up the phone?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
Do they shop online?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
If yes, which websites do they usually buy from?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
If no, why not? As with Question #336, this may come down to trust (not feeling confident supplying their bank details online) or ability (not understanding how to make purchases online). However, they may simply prefer to make purchases in person.;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
Again if no, could they be persuaded to start shopping online?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
What cell phone do they use?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
Why do they need your product (or service)? Think about the benefits it will offer your specific buyer (not the general public at large).;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
When will they need your product? Is it something they’ll need for a specific occasion, something that lends itself to repeat purchases, or something that, while useful, will not be required at any specific point?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
What other products (if any) on the market offer the same (or similar) benefits?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
"If you’re up against competing products, why would your persona choose to buy from you, rather than one of your competitors? Think about your USPs; specifically, how your USPs will benefit your buyer.";Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
What questions will they ask before deciding to buy your product? This might include:;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
What’s their number one concern when deciding whether or not to make a purchase? (Price, quality, brand, etc.);Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
How would they prefer to purchase your product? Online, over the phone, or in person?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
Are they willing to make the purchase by alternative means, or is there only one means by which they are happy or able to buy?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
When making a purchase online, which payment method do they prefer to use? Think PayPal, debit card, or credit card, but consider the card provider too.;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
When making a purchase in person, do they prefer to pay by card or with cash?;Sujan Patel;https://sujanpatel.com/marketing/150-buyer-persona-questions/;Consumer Habit
Tell us about a challenge you encountered recently. What steps did you take to resolve it?;Carol Ann Tan;https://www.sprk-d.com/blog/21-essential-questions-to-ask-during-a-buyer-persona-interview;Decision Making
What accomplishments are you most proud of?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Decision Making
What are the top three things on your bucket list?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Decision Making
What value is typically associated with your industry?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Decision Making
What is the preferred type of sales experience in your industry?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Decision Making
What are the most common objections to your product or service?;Carly Ries;https://www.smartbugmedia.com/blog/55-questions-to-ask-when-developing-buyer-personas;Decision Making
(If a customer) Why did you choose [your company] over another company?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Decision Making
(If not a customer) Why did you choose X Company over us?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Decision Making
What is your decision-making process when planning on buying [your product/service]?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Decision Making
Was anyone else involved in this process? If so, who? And why or why not?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Decision Making
What would you say influences your purchasing decision the most?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Decision Making
What is most important to you when selecting a vendor?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Decision Making
What are some key factors that would deter you from making a purchase?;Kaitlyn Petro;https://www.impactbnd.com/blog/buyer-persona-questions-to-ask-in-your-persona-interviews;Decision Making
What kind of customer- or user-related decisions you make?;Qatar Computing Research Institute;https://persona.qcri.org/blog/how-to-create-personas-a-list-of-common-interview-questions/;Decision Making
What are the most common challenges in your industry?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
What are the goals you're trying to achieve?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
Why are these goals important? ;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
What steps are you taking to achieve these goals?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
What are the biggest challenges that prevent you from achieving your personal goals?;Mark Loehrke;https://www.clariantcreative.com/blog/creating-personas-interview-questions-to-get-you-started;Decision Making
